TEMPLATE_ID,SUBJECT_ID,FILE,MEDIA_ID,SIGHTING_ID,FRAME,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y,FACE_YAW,FOREHEAD_VISIBLE,EYES_VISIBLE,NOSE_MOUTH_VISIBLE,INDOOR,GENDER,SKIN_TONE,AGE,FACIAL_HAIR
4026,419,img/11296.jpg,11296,30086,,74.0,18.0,97.0,119.0,106,70.3333333333333,134.6,70,118.846153846154,90.6923076923077,-1.74007,1,0,1,1,1,1,4,0
4026,419,img/2551.jpg,2551,23755,,4204.5,473.0,369.0,463.5,4295.4,674.2,4394.71428571429,651.428571428571,4333.33333333333,742.083333333333,-21.7836,1,0,1,1,1,1,5,0
4026,419,frame/28845_00000.png,28845,5747,0,713.0,192.0,31.200000000000045,32.0,723.4,210,828.8,229.8,,,,1,0,1,1,1,1,,
4026,419,frame/28845_00120.png,28845,5759,120,708.0,189.0,37.5,35.5,,,,,718.625,212.375,,1,0,1,1,1,1,4,0
4026,419,frame/28849_00000.png,28849,11243,0,532.0,36.0,320.16666666666697,409.0,604.5,226,701.333333333333,222.166666666667,650.076923076923,303.769230769231,-18.3027,1,0,1,1,1,1,4,0
4026,419,frame/28849_00060.png,28849,11244,60,546.6,40.0,312.6,396.8,616.6,215.2,715.571428571429,210.857142857143,662.454545454545,289.090909090909,-17.5384,1,0,1,1,1,1,4,0
4026,419,frame/28849_00120.png,28849,11245,120,548.0,47.6,308.0,408.2,616,227.8,715.428571428571,227.571428571429,660.461538461538,305.615384615385,-17.7722,1,0,1,1,1,1,5,0
4026,419,frame/28849_00180.png,28849,11246,180,545.0,54.0,312.0,409.0,626.4,235.2,727.333333333333,235,672,306.888888888889,-16.9543,1,0,1,1,1,1,5,0
4026,419,frame/28849_00182.png,28849,11247,182,536.166666666667,38.0,331.33333333333303,425.0,657.6,233.4,760.333333333333,235.5,706.230769230769,307.692307692308,-5.56362,1,0,1,1,1,1,4,0
4026,419,frame/28849_00242.png,28849,11248,242,627.0,169.0,83.0,92.0,,,648.6,213.6,638.416666666667,227.583333333333,,1,0,1,1,1,1,4,0
4026,419,frame/28849_00422.png,28849,11251,422,625.0,48.0,324.0,425.0,753.6,234.4,851.571428571429,260,790.769230769231,328.461538461538,6.30017,1,0,1,1,1,1,4,0
4027,23,img/106.jpg,106,26372,,133.8,23.0,118.39999999999998,146.0,180.666666666667,100,216.571428571429,91.1428571428571,202.230769230769,117.769230769231,4.31468,1,0,0,1,1,4,4,1
4027,23,img/1553.jpg,1553,26097,,687.142857142857,236.142857142857,584.5714285714331,665.714285714286,1034,580.6,1173.42857142857,586.857142857143,1129,701.6,21.7729,1,0,1,0,1,4,4,1
4027,23,img/1732.jpg,1732,26509,,793.8,90.0,263.60000000000014,280.6,860.8,208.2,934,219.142857142857,878.538461538462,257.461538461538,-21.5011,1,0,1,1,1,4,4,1
4027,23,img/109.jpg,109,27502,,529.0,29.0,556.0,650.0,869.6,354.6,1003.66666666667,360.5,961.181818181818,472.272727272727,20.1131,1,0,1,0,1,4,,1
4027,23,img/1552.jpg,1552,23588,,37.0,6.0,68.0,86.0,58.3333333333333,50.6666666666667,81,51.7142857142857,67.2307692307692,66.3076923076923,1.08893,1,0,1,1,1,4,5,1
4024,419,img/11296.jpg,11296,30086,,74.0,18.0,97.0,119.0,106,70.3333333333333,134.6,70,118.846153846154,90.6923076923077,-1.74007,1,0,1,1,1,1,4,0
4025,419,img/2551.jpg,2551,23755,,4204.5,473.0,369.0,463.5,4295.4,674.2,4394.71428571429,651.428571428571,4333.33333333333,742.083333333333,-21.7836,1,0,1,1,1,1,5,0
4025,419,frame/28845_00000.png,28845,5747,0,713.0,192.0,31.200000000000045,32.0,723.4,210,828.8,229.8,,,,1,0,1,1,1,1,,
4025,419,frame/28845_00120.png,28845,5759,120,708.0,189.0,37.5,35.5,,,,,718.625,212.375,,1,0,1,1,1,1,4,0
4025,419,frame/28849_00000.png,28849,11243,0,532.0,36.0,320.16666666666697,409.0,604.5,226,701.333333333333,222.166666666667,650.076923076923,303.769230769231,-18.3027,1,0,1,1,1,1,4,0
4025,419,frame/28849_00060.png,28849,11244,60,546.6,40.0,312.6,396.8,616.6,215.2,715.571428571429,210.857142857143,662.454545454545,289.090909090909,-17.5384,1,0,1,1,1,1,4,0
4025,419,frame/28849_00120.png,28849,11245,120,548.0,47.6,308.0,408.2,616,227.8,715.428571428571,227.571428571429,660.461538461538,305.615384615385,-17.7722,1,0,1,1,1,1,5,0
4025,419,frame/28849_00180.png,28849,11246,180,545.0,54.0,312.0,409.0,626.4,235.2,727.333333333333,235,672,306.888888888889,-16.9543,1,0,1,1,1,1,5,0
4025,419,frame/28849_00182.png,28849,11247,182,536.166666666667,38.0,331.33333333333303,425.0,657.6,233.4,760.333333333333,235.5,706.230769230769,307.692307692308,-5.56362,1,0,1,1,1,1,4,0
