TEMPLATE_ID,SUBJECT_ID,FILE,MEDIA_ID,SIGHTING_ID,FRAME,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y,FACE_YAW,FOREHEAD_VISIBLE,EYES_VISIBLE,NOSE_MOUTH_VISIBLE,INDOOR,GENDER,SKIN_TONE,AGE,FACIAL_HAIR
0,1673,img/8565.jpg,8565,27394,,3155,527,571,565,,,3290,807,3238.25,903.25,,1,1,1,1,1,4,4,0
0,1673,img/8559.jpg,8559,28222,,1188,460.125,166,205.875,1220.833333,573.5,1259.714286,561.2857143,1234.923077,614.8461538,,1,1,1,0,1,4,4,1
0,1673,img/8579.jpg,8579,27127,,573.4285714,252.5714286,125.1428571,161.4285714,622.2,340.8,664.6666667,337.6666667,647.1538462,370.3076923,0.11244,1,1,1,1,1,4,4,1
0,1673,img/8558.jpg,8558,26484,,102.25,73.25,200,257.5,196.6666667,199,265.8571429,196.7142857,243.3333333,246.8333333,7.89891,1,0,0,1,1,4,4,1
0,1673,frame/29930_00060.png,29930,14745,60,195.625,98,75,92.75,212.5,143.5,242.1666667,143.1666667,224.3333333,159.5,-13.6772,1,1,1,1,1,4,4,0
0,1673,frame/29930_00120.png,29930,14746,120,89.57142857,53,134.4285714,151.1428571,181.6,148.4,211.8333333,130.3333333,214.6153846,167.8461538,12.4717,1,1,1,1,1,4,,0
0,1673,frame/29930_00180.png,29930,14747,180,92,50,115.3333333,170,141.6,169.6,183.1666667,162.3333333,165.3333333,196.8333333,0,1,1,1,1,1,4,,0
0,1673,frame/29930_00240.png,29930,14748,240,103.7142857,62,124,143.4285714,185.8,155.6,213.5,137.6666667,215.8333333,168.3333333,,1,1,1,1,1,4,4,0
0,1673,frame/29930_00300.png,29930,14749,300,148,50,98.28571429,124.2857143,,,176.6666667,120.1666667,158.1428571,141.4285714,-32.9558,1,1,1,1,1,4,4,0
0,1673,frame/29930_00360.png,29930,14750,360,169.5714286,55,100.8571429,131,222.8333333,120.8333333,258.4285714,121.4285714,245.8461538,143.6153846,22.0988,1,1,1,1,1,4,4,0
0,1673,frame/29930_00390.png,29930,14751,390,150.7142857,58.71428571,102.2857143,127.8571429,,,184.5714286,125.1428571,163.6923077,148.8461538,-35.4175,1,1,1,1,1,4,4,0
0,1673,frame/29930_00450.png,29930,14752,450,153,56.33333333,103.6666667,129.3333333,167.5,125.1666667,195.5,123.5,175.4615385,149.4615385,-28.066,1,1,1,1,1,4,4,0
0,1673,frame/29985_00000.png,29985,9263,0,148.4285714,50.85714286,72.85714286,104.1428571,160.7647059,109.3529412,184.5,106.5,171.3636364,127.7272727,-25.4191,1,0,1,1,1,4,4,1
0,1673,frame/29985_00060.png,29985,9264,60,137.6666667,35.33333333,109,148.3333333,161.8,140.4,192.4285714,139.1428571,182.4,162,,1,0,0,1,1,4,4,
0,1673,frame/29985_00090.png,29985,9265,90,145,34,109,152.5,168,135.5,199.1666667,130.6666667,185.5833333,160.5,,1,0,0,1,1,4,4,0
0,1673,frame/29985_00150.png,29985,9266,150,115,44.4,111.8,154,137.8,153.6,168.3333333,146.5,156.6363636,174.7272727,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00210.png,29985,9267,210,149.875,43.375,115.125,150.875,163.8,145.2,190.5,141.5,179.9230769,168.3076923,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00270.png,29985,9268,270,135.7142857,43.71428571,102.5714286,149.2857143,155.4,147.6,184,144,173.3846154,169.9230769,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00321.png,29985,9269,321,128.2857143,35.57142857,120,146.8571429,159.3333333,132.5,191.25,125.75,178.9090909,154.9090909,,0,0,1,1,1,4,4,0
0,1673,frame/29985_00381.png,29985,9270,381,126.2857143,42,117.4285714,155,152,150,176.8333333,146.6666667,164.7272727,172.5454545,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00441.png,29985,9271,441,129.2,46.8,108.8,148.2,155,150.2857143,183,146.2,169.7777778,173,,1,0,1,1,1,4,,0
0,1673,frame/29985_00480.png,29985,9272,480,133.7142857,45.85714286,104.5714286,147.8571429,153.2,149.8,182.5714286,144.7142857,170.8,172.9,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00540.png,29985,9273,540,146.3333333,31.33333333,103.6666667,140,159.4,114.6,189.1666667,112.1666667,169.3846154,140.0769231,-31.8954,1,0,1,1,1,4,4,1
1,1673,img/8580.jpg,8580,29498,,84,9,107.2857143,140.5714286,124.4,90.6,167.2857143,88.71428571,147.6153846,119.5384615,-4.30583,1,1,1,1,1,4,4,0
2,1673,img/8563.JPG,8563,25812,,1802.142857,840.1428571,504.5714286,690.4285714,2078,1171.8,2247.571429,1184.285714,2187.909091,1307.454545,20.6034,1,1,1,1,1,4,,1
5,1673,img/8572.jpg,8572,26074,,556.1428571,430,413.8571429,441.2857143,885.6,676.4,,,932.8,766.9,,1,1,1,1,1,4,4,1
6,1673,img/8564.jpg,8564,30094,,1509,903.4285714,124.4285714,140,1581,981.8,1613.857143,980.1428571,1605.333333,1005.666667,23.0057,1,1,1,0,1,4,4,0
7,1673,frame/29931_00000.png,29931,21164,0,160,63,95,140,206.2,156,237,154.5,224.3636364,175.4545455,,1,0,1,1,1,4,4,0
7,1673,frame/29931_00060.png,29931,21165,60,126.6666667,66.33333333,106.3333333,144,181.5,161.6666667,212.8,159,199.5,182.5,,1,0,1,1,1,4,4,0
7,1673,frame/29931_00120.png,29931,21166,120,134,65.33333333,100.3333333,140.6666667,187.6666667,156.8333333,,,203.0833333,177.5833333,,1,0,0,1,1,4,,0
7,1673,frame/29931_00180.png,29931,21167,180,140.6,64.4,100.4,137.4,192.1666667,158.3333333,224.6666667,157.1666667,208.5,178.875,,1,0,0,1,1,4,4,
7,1673,frame/29931_00240.png,29931,21168,240,142,61.33333333,99,140.6666667,192,152.4,225.2,150.6,207.3333333,175.5833333,,1,0,0,1,1,4,4,0
7,1673,frame/29931_00300.png,29931,21169,300,147,69.71428571,88,133,189,159,220,158.3333333,204,180.1,,1,0,0,1,1,4,4,
7,1673,frame/29931_00315.png,29931,21170,315,141.4285714,66.57142857,104.5714286,137,,,226.5,157.6666667,209.2222222,179.6666667,,1,0,0,1,1,4,4,1
7,1673,frame/29931_00375.png,29931,21171,375,148,57.33333333,93,135.6666667,192,133.6,222.1666667,132.6666667,208.1666667,156.6666667,-2.87622,1,0,1,1,1,4,3,0
7,1673,frame/29931_00435.png,29931,21172,435,146,67,95,133,194,159.6,224.8,158.8,211.5,178.875,,1,0,0,1,1,4,4,
7,1673,frame/29931_00495.png,29931,21173,495,150,66.66666667,93,136.3333333,193.2,154.2,224.75,154.5,209.1111111,174.7777778,,1,0,0,1,1,4,4,0
7,1673,frame/29931_00555.png,29931,21174,555,147,63,101,140,192.8,153.8,224.5,155,208.4444444,175.6666667,,1,0,0,1,1,4,4,
